y,count
4193975,2041
4193987,2041
4194000,2041
4194012,2041
4194025,2041
4194037,2041
4194050,2041
4194062,2041
4194075,2041
4194087,2041
4194100,2041
4194112,2041
4194125,2041
4194137,2041
4194150,2041
4194162,2041
4194175,2041
4194187,2041
4194200,2041
4194212,2041
4194225,2041
4194237,2041
4194250,2041
4194262,2041
4194275,2041
4194287,2041
4194300,2041
4194312,2041
4194325,2041
4194337,2041
4194350,2041
4194362,2041
4194375,2041
4194387,2041
4194400,2041
4194412,2041
4194425,2041
4194437,2041
4194450,2041
4194462,2041
4194475,2041
4194487,2041
4194500,2041
4194512,2041
4194525,2041
4194537,2041
4194550,2041
4194562,2041
4194575,2041
4194587,2041
4194600,2041
4194612,2041
4194625,2041
4194637,2041
4194650,2041
4194662,2041
4194675,2041
4194687,2041
4194700,2041
4194712,2041
4194725,2041
4194737,2041
4194750,2041
4194762,2041
4194775,2041
4194787,2041
4194800,2041
4194812,2041
4194825,2041
4194837,2041
4194850,2041
4194862,2041
4194875,2041
4194887,2041
4194900,2041
4194912,2041
4194925,2041
4194937,2041
4194950,2041
4194962,2041
4194975,2041
4194987,2041
4195000,2041
4195012,2041
4195025,2041
4195037,2041
4195050,2041
4195062,2041
4195075,2041
4195087,2041
4195100,2041
4195112,2041
4195125,2041
4195137,2041
4195150,2041
4195162,2041
4195175,2041
4195187,2041
4195200,2041
4195212,2041
4195225,2041
4195237,2041
4195250,2041
4195262,2041
4195275,2041
4195287,2041
4195300,2041
4195312,2041
4195325,2041
4195337,2041
4195350,2041
4195362,2041
4195375,2041
4195387,2041
4195400,2041
4195412,2041
4195425,2041
4195437,2041
4195450,2041
4195462,2041
4195475,2041
4195487,2041
4195500,2041
4195512,2041
4195525,2041
4195537,2041
4195550,2041
4195562,2041
4195575,2041
4195587,2041
4195600,2041
4195612,2041
4195625,2041
4195637,2041
4195650,2041
4195662,2041
4195675,2041
4195687,2041
4195700,2041
4195712,2041
4195725,2041
4195737,2041
4195750,2041
4195762,2041
4195775,2041
4195787,2041
4195800,2041
4195812,2041
4195825,2041
4195837,2041
4195850,2041
4195862,2041
4195875,2041
4195887,2041
4195900,2041
4195912,2041
4195925,2041
4195937,2041
4195950,2041
4195962,2041
4195975,2041
4195987,2041
4196000,2041
4196012,2041
4196025,2041
4196037,2041
4196050,2041
4196062,2041
4196075,2041
4196087,2041
4196100,2041
4196112,2041
4196125,2041
4196137,2041
4196150,2041
4196162,2041
4196175,2041
4196187,2041
4196200,2041
4196212,2041
4196225,2041
4196237,2041
4196250,2041
4196262,2041
4196275,2041
4196287,2041
4196300,2041
4196312,2041
4196325,2041
4196337,2041
4196350,2041
4196362,2041
4196375,2041
4196387,2041
4196400,2041
4196412,2041
4196425,2041
4196437,2041
4196450,2041
4196462,2041
4196475,2041
4196487,2041
4196500,2041
4196512,2041
4196525,2041
4196537,2041
4196550,2041
4196562,2041
4196575,2041
4196587,2041
4196600,2041
4196612,2041
4196625,2041
4196637,2041
4196650,2041
4196662,2041
4196675,2041
4196687,2041
4196700,2041
4196712,2041
4196725,2041
4196737,2041
4196750,2041
4196762,2041
4196775,2041
4196787,2041
4196800,2041
4196812,2041
4196825,2041
4196837,2041
4196850,2041
4196862,2041
4196875,2041
4196887,2041
4196900,2041
4196912,2041
4196925,2041
4196937,2041
4196950,2041
4196962,2041
4196975,2041
4196987,2041
4197000,2041
4197012,2041
4197025,2041
4197037,2041
4197050,2041
4197062,2041
4197075,2041
4197087,2041
4197100,2041
4197112,2041
4197125,2041
4197137,2041
4197150,2041
4197162,2041
4197175,2041
4197187,2041
4197200,2041
4197212,2041
4197225,2041
4197237,2041
4197250,2041
4197262,2041
4197275,2041
4197287,2041
4197300,2041
4197312,2041
4197325,2041
4197337,2041
4197350,2041
4197362,2041
4197375,2041
4197387,2041
4197400,2041
4197412,2041
4197425,2041
4197437,2041
4197450,2041
4197462,2041
4197475,2041
4197487,2041
4197500,2041
4197512,2041
4197525,2041
4197537,2041
4197550,2041
4197562,2041
4197575,2041
4197587,2041
4197600,2041
4197612,2041
4197625,2041
4197637,2041
4197650,2041
4197662,2041
4197675,2041
4197687,2041
4197700,2041
4197712,2041
4197725,2041
4197737,2041
4197750,2041
4197762,2041
4197775,2041
4197787,2041
4197800,2041
4197812,2041
4197825,2041
4197837,2041
4197850,2041
4197862,2041
4197875,2041
4197887,2041
4197900,2041
4197912,2041
4197925,2041
4197937,2041
4197950,2041
4197962,2041
4197975,2041
4197987,2041
4198000,2041
4198012,2041
4198025,2041
4198037,2041
4198050,2041
4198062,2041
4198075,2041
4198087,2041
4198100,2041
4198112,2041
4198125,2041
4198137,2041
4198150,2041
4198162,2041
4198175,2041
4198187,2041
4198200,2041
4198212,2041
4198225,2041
4198237,2041
4198250,2041
4198262,2041
4198275,2041
4198287,2041
4198300,2041
4198312,2041
4198325,2041
4198337,2041
4198350,2041
4198362,2041
4198375,2041
4198387,2041
4198400,2041
4198412,2041
4198425,2041
4198437,2041
4198450,2041
4198462,2041
4198475,2041
4198487,2041
4198500,2041
