TraceIdx,X,Y
1125696,565750,4201175
1125697,565750,4201187
1125698,565750,4201200
1125699,565750,4201212
1125700,565750,4201225
1125701,565750,4201237
1125702,565750,4201250
1125703,565750,4201262
1125704,565750,4201275
1125705,565750,4201287
1125706,565750,4201300
1125707,565750,4201312
1125708,565750,4201325
1125709,565750,4201337
1125710,565750,4201350
1125711,565750,4201362
1125712,565750,4201375
1125713,565750,4201387
1125714,565750,4201400
1125715,565750,4201412
1125716,565750,4201425
1125717,565750,4201437
1125718,565750,4201450
1125719,565750,4201462
1125720,565750,4201475
1127161,565762,4201175
1127162,565762,4201187
1127163,565762,4201200
1127164,565762,4201212
1127165,565762,4201225
1127166,565762,4201237
1127167,565762,4201250
1127168,565762,4201262
1127169,565762,4201275
1127170,565762,4201287
1127171,565762,4201300
1127172,565762,4201312
1127173,565762,4201325
1127174,565762,4201337
1127175,565762,4201350
1127176,565762,4201362
1127177,565762,4201375
1127178,565762,4201387
1127179,565762,4201400
1127180,565762,4201412
1127181,565762,4201425
1127182,565762,4201437
1127183,565762,4201450
1127184,565762,4201462
1127185,565762,4201475
1128626,565775,4201175
1128627,565775,4201187
1128628,565775,4201200
1128629,565775,4201212
1128630,565775,4201225
1128631,565775,4201237
1128632,565775,4201250
1128633,565775,4201262
1128634,565775,4201275
1128635,565775,4201287
1128636,565775,4201300
1128637,565775,4201312
1128638,565775,4201325
1128639,565775,4201337
1128640,565775,4201350
1128641,565775,4201362
1128642,565775,4201375
1128643,565775,4201387
1128644,565775,4201400
1128645,565775,4201412
1128646,565775,4201425
1128647,565775,4201437
1128648,565775,4201450
1128649,565775,4201462
1128650,565775,4201475
1130091,565787,4201175
1130092,565787,4201187
1130093,565787,4201200
1130094,565787,4201212
1130095,565787,4201225
1130096,565787,4201237
1130097,565787,4201250
1130098,565787,4201262
1130099,565787,4201275
1130100,565787,4201287
1130101,565787,4201300
1130102,565787,4201312
1130103,565787,4201325
1130104,565787,4201337
1130105,565787,4201350
1130106,565787,4201362
1130107,565787,4201375
1130108,565787,4201387
1130109,565787,4201400
1130110,565787,4201412
1130111,565787,4201425
1130112,565787,4201437
1130113,565787,4201450
1130114,565787,4201462
1130115,565787,4201475
1131556,565800,4201175
1131557,565800,4201187
1131558,565800,4201200
1131559,565800,4201212
1131560,565800,4201225
1131561,565800,4201237
1131562,565800,4201250
1131563,565800,4201262
1131564,565800,4201275
1131565,565800,4201287
1131566,565800,4201300
1131567,565800,4201312
1131568,565800,4201325
1131569,565800,4201337
1131570,565800,4201350
1131571,565800,4201362
1131572,565800,4201375
1131573,565800,4201387
1131574,565800,4201400
1131575,565800,4201412
1131576,565800,4201425
1131577,565800,4201437
1131578,565800,4201450
1131579,565800,4201462
1131580,565800,4201475
1133021,565812,4201175
1133022,565812,4201187
1133023,565812,4201200
1133024,565812,4201212
1133025,565812,4201225
1133026,565812,4201237
1133027,565812,4201250
1133028,565812,4201262
1133029,565812,4201275
1133030,565812,4201287
1133031,565812,4201300
1133032,565812,4201312
1133033,565812,4201325
1133034,565812,4201337
1133035,565812,4201350
1133036,565812,4201362
1133037,565812,4201375
1133038,565812,4201387
1133039,565812,4201400
1133040,565812,4201412
1133041,565812,4201425
1133042,565812,4201437
1133043,565812,4201450
1133044,565812,4201462
1133045,565812,4201475
1134486,565825,4201175
1134487,565825,4201187
1134488,565825,4201200
1134489,565825,4201212
1134490,565825,4201225
1134491,565825,4201237
1134492,565825,4201250
1134493,565825,4201262
1134494,565825,4201275
1134495,565825,4201287
1134496,565825,4201300
1134497,565825,4201312
1134498,565825,4201325
1134499,565825,4201337
1134500,565825,4201350
1134501,565825,4201362
1134502,565825,4201375
1134503,565825,4201387
1134504,565825,4201400
1134505,565825,4201412
1134506,565825,4201425
1134507,565825,4201437
1134508,565825,4201450
1134509,565825,4201462
1134510,565825,4201475
1135951,565837,4201175
1135952,565837,4201187
1135953,565837,4201200
1135954,565837,4201212
1135955,565837,4201225
1135956,565837,4201237
1135957,565837,4201250
1135958,565837,4201262
1135959,565837,4201275
1135960,565837,4201287
1135961,565837,4201300
1135962,565837,4201312
1135963,565837,4201325
1135964,565837,4201337
1135965,565837,4201350
1135966,565837,4201362
1135967,565837,4201375
1135968,565837,4201387
1135969,565837,4201400
1135970,565837,4201412
1135971,565837,4201425
1135972,565837,4201437
1135973,565837,4201450
1135974,565837,4201462
1135975,565837,4201475
1137416,565850,4201175
1137417,565850,4201187
1137418,565850,4201200
1137419,565850,4201212
1137420,565850,4201225
1137421,565850,4201237
1137422,565850,4201250
1137423,565850,4201262
1137424,565850,4201275
1137425,565850,4201287
1137426,565850,4201300
1137427,565850,4201312
1137428,565850,4201325
1137429,565850,4201337
1137430,565850,4201350
1137431,565850,4201362
1137432,565850,4201375
1137433,565850,4201387
1137434,565850,4201400
1137435,565850,4201412
1137436,565850,4201425
1137437,565850,4201437
1137438,565850,4201450
1137439,565850,4201462
1137440,565850,4201475
1138881,565862,4201175
1138882,565862,4201187
1138883,565862,4201200
1138884,565862,4201212
1138885,565862,4201225
1138886,565862,4201237
1138887,565862,4201250
1138888,565862,4201262
1138889,565862,4201275
1138890,565862,4201287
1138891,565862,4201300
1138892,565862,4201312
1138893,565862,4201325
1138894,565862,4201337
1138895,565862,4201350
1138896,565862,4201362
1138897,565862,4201375
1138898,565862,4201387
1138899,565862,4201400
1138900,565862,4201412
1138901,565862,4201425
1138902,565862,4201437
1138903,565862,4201450
1138904,565862,4201462
1138905,565862,4201475
1140346,565875,4201175
1140347,565875,4201187
1140348,565875,4201200
1140349,565875,4201212
1140350,565875,4201225
1140351,565875,4201237
1140352,565875,4201250
1140353,565875,4201262
1140354,565875,4201275
1140355,565875,4201287
1140356,565875,4201300
1140357,565875,4201312
1140358,565875,4201325
1140359,565875,4201337
1140360,565875,4201350
1140361,565875,4201362
1140362,565875,4201375
1140363,565875,4201387
1140364,565875,4201400
1140365,565875,4201412
1140366,565875,4201425
1140367,565875,4201437
1140368,565875,4201450
1140369,565875,4201462
1140370,565875,4201475
1141811,565887,4201175
1141812,565887,4201187
1141813,565887,4201200
1141814,565887,4201212
1141815,565887,4201225
1141816,565887,4201237
1141817,565887,4201250
1141818,565887,4201262
1141819,565887,4201275
1141820,565887,4201287
1141821,565887,4201300
1141822,565887,4201312
1141823,565887,4201325
1141824,565887,4201337
1141825,565887,4201350
1141826,565887,4201362
1141827,565887,4201375
1141828,565887,4201387
1141829,565887,4201400
1141830,565887,4201412
1141831,565887,4201425
1141832,565887,4201437
1141833,565887,4201450
1141834,565887,4201462
1141835,565887,4201475
1143276,565900,4201175
1143277,565900,4201187
1143278,565900,4201200
1143279,565900,4201212
1143280,565900,4201225
1143281,565900,4201237
1143282,565900,4201250
1143283,565900,4201262
1143284,565900,4201275
1143285,565900,4201287
1143286,565900,4201300
1143287,565900,4201312
1143288,565900,4201325
1143289,565900,4201337
1143290,565900,4201350
1143291,565900,4201362
1143292,565900,4201375
1143293,565900,4201387
1143294,565900,4201400
1143295,565900,4201412
1143296,565900,4201425
1143297,565900,4201437
1143298,565900,4201450
1143299,565900,4201462
1143300,565900,4201475
1144741,565912,4201175
1144742,565912,4201187
1144743,565912,4201200
1144744,565912,4201212
1144745,565912,4201225
1144746,565912,4201237
1144747,565912,4201250
1144748,565912,4201262
1144749,565912,4201275
1144750,565912,4201287
1144751,565912,4201300
1144752,565912,4201312
1144753,565912,4201325
1144754,565912,4201337
1144755,565912,4201350
1144756,565912,4201362
1144757,565912,4201375
1144758,565912,4201387
1144759,565912,4201400
