#Line    Trace        X           Y           Time        Flag            FaultName 
1711   4053     573012.500    4207065.341       2202.600   1                    F01
1711   4015     573012.500    4206586.221       2477.000   1                    F01
1711   3973     573012.500    4206061.569       2756.400   1                    F01
1711   3929     573012.500    4205511.432       2993.800   1                    F01
1711   3853     573012.500    4204556.933       3263.400   1                    F01
1711   3774     573012.500    4203577.630       3545.000   1                    F01
1711   3739     573012.500    4203140.304       3670.200   1                    F01
1711   3713     573012.500    4202806.961       3765.800   1                    F01
1731   4051     573262.500    4207032.040       2403.800   2                    F01
1731   4026     573262.500    4206723.840       2585.000   2                    F01
1731   3988     573262.500    4206244.381       2773.600   2                    F01
1731   3954     573262.500    4205819.293       2964.800   2                    F01
1731   3923     573262.500    4205432.260       3101.800   2                    F01
1731   3879     573262.500    4204886.200       3305.200   2                    F01
1731   3846     573262.500    4204469.604       3422.800   2                    F01
1731   3788     573262.500    4203744.470       3660.400   2                    F01
1731   3759     573262.500    4203390.399       3743.800   2                    F01
1731   3741     573262.500    4203161.370       3800.000   2                    F01
1751   4203     573512.500    4208936.282       1149.400   3                    F01
1751   4178     573512.500    4208619.589       1372.400   3                    F01
1751   4161     573512.500    4208411.291       1519.400   3                    F01
1751   4139     573512.500    4208140.472       1693.200   3                    F01
1751   4126     573512.500    4207978.045       1808.400   3                    F01
1751   4105     573512.500    4207715.381       2021.400   3                    F01
1751   4069     573512.500    4207261.407       2332.600   3                    F01
1751   4035     573512.500    4206836.316       2589.800   3                    F01
1751   4004     573512.500    4206453.021       2810.400   3                    F01
1751   3977     573512.500    4206115.597       2994.000   3                    F01
1751   3949     573512.500    4205757.107       3143.400   3                    F01
1751   3891     573512.500    4205031.976       3368.800   3                    F01
1751   3856     573512.500    4204594.653       3493.800   3                    F01
1751   3818     573512.500    4204123.687       3618.800   3                    F01
1751   3772     573512.500    4203548.745       3763.200   3                    F01
1791   4218     574012.500    4209123.852       1159.200   4                    F01
1791   4202     574012.500    4208927.789       1330.800   4                    F01
1791   4189     574012.500    4208761.285       1482.600   4                    F01
1791   4172     574012.500    4208544.491       1698.200   4                    F01
1791   4149     574012.500    4208265.515       1945.600   4                    F01
1791   4125     574012.500    4207965.472       2178.200   4                    F01
1791   4095     574012.500    4207586.255       2457.600   4                    F01
1791   4074     574012.500    4207319.513       2609.400   4                    F01
1791   4045     574012.500    4206965.442       2776.000   4                    F01
1791   4022     574012.500    4206673.889       2918.000   4                    F01
1791   3994     574012.500    4206327.972       3011.200   4                    F01
1791   3957     574012.500    4205857.010       3175.400   4                    F01
1791   3912     574012.500    4205303.134       3322.400   4                    F01
1791   3866     574012.500    4204719.699       3481.600   4                    F01
1791   3826     574012.500    4204219.513       3633.400   4                    F01
1791   3780     574012.500    4203648.986       3775.600   4                    F01
1771   4223     573762.500    4209186.377       1142.000   5                    F01
1771   4203     573762.500    4208932.205       1330.800   5                    F01
1771   4182     573762.500    4208678.033       1541.400   5                    F01
1771   4161     573762.500    4208415.368       1769.200   5                    F01
1771   4139     573762.500    4208132.312       1972.600   5                    F01
1771   4119     573762.500    4207886.297       2158.800   5                    F01
1771   4077     573762.500    4207357.229       2455.200   5                    F01
1771   4049     573762.500    4207015.390       2658.400   5                    F01
1771   4002     573762.500    4206423.797       2925.600   5                    F01
1771   3975     573762.500    4206086.377       3097.000   5                    F01
1771   3916     573762.500    4205344.592       3310.000   5                    F01
1771   3872     573762.500    4204802.948       3432.600   5                    F01
1771   3829     573762.500    4204261.306       3562.400   5                    F01
1771   3794     573762.500    4203819.568       3694.600   5                    F01
1771   3778     573762.500    4203627.917       3751.000   5                    F01
