UnitID,Split
BX49_BY5,train
BX60_BY54,train
BX61_BY49,train
BX61_BY50,train
BX61_BY51,train
BX61_BY52,train
BX62_BY48,train
BX62_BY49,train
BX63_BY44,train
BX63_BY45,train
BX63_BY46,train
BX64_BY41,train
BX64_BY44,train
BX65_BY41,train
BX66_BY37,train
BX66_BY38,train
BX67_BY33,train
BX67_BY34,train
BX67_BY36,train
BX68_BY31,train
BX59_BY55,val
BX60_BY55,val
BX62_BY47,val
BX64_BY42,val
BX64_BY43,val
BX67_BY35,val
BX68_BY32,val
BX69_BY28,val
BX69_BY30,val
BX60_BY52,test
BX60_BY53,test
BX65_BY39,test
BX65_BY40,test
BX68_BY33,test
