UnitID,Split
BX75_BY42,train
BX67_BY33,train
BX70_BY40,train
BX77_BY41,train
BX70_BY44,train
BX70_BY41,train
BX71_BY44,train
BX72_BY43,train
BX61_BY50,train
BX75_BY40,train
BX79_BY43,train
BX67_BY37,train
BX76_BY43,train
BX71_BY42,train
BX78_BY42,train
BX68_BY32,train
BX66_BY33,train
BX49_BY5,train
BX67_BY38,train
BX73_BY44,train
BX65_BY40,train
BX70_BY42,train
BX64_BY44,train
BX66_BY34,train
BX80_BY40,train
BX59_BY53,train
BX68_BY29,train
BX62_BY48,train
BX69_BY29,train
BX66_BY38,train
BX79_BY40,train
BX76_BY40,train
BX66_BY37,train
BX77_BY42,train
BX70_BY45,train
BX76_BY44,train
BX67_BY39,train
BX64_BY43,train
BX72_BY45,train
BX68_BY28,train
BX62_BY47,train
BX80_BY44,train
BX80_BY41,train
BX62_BY50,train
BX59_BY54,train
BX78_BY44,train
BX65_BY41,train
BX71_BY43,train
BX73_BY43,train
BX64_BY42,train
BX76_BY41,train
BX68_BY33,train
BX64_BY45,train
BX79_BY41,train
BX74_BY44,train
BX66_BY35,train
BX70_BY43,train
BX79_BY42,train
BX74_BY42,train
BX66_BY39,train
BX59_BY55,train
BX77_BY44,train
BX74_BY40,train
BX62_BY52,train
BX60_BY55,train
BX63_BY45,train
BX80_BY42,train
BX59_BY52,train
BX79_BY44,train
BX74_BY41,train
BX69_BY28,train
BX60_BY54,train
BX78_BY41,train
BX73_BY40,train
BX63_BY41,train
BX62_BY51,train
BX73_BY41,train
BX61_BY52,train
BX63_BY46,train
BX60_BY53,val
BX62_BY49,val
BX74_BY43,val
BX72_BY40,val
BX61_BY49,val
BX75_BY41,val
BX75_BY43,val
BX68_BY30,val
BX68_BY31,val
BX67_BY34,val
BX71_BY45,val
BX65_BY39,val
BX72_BY41,val
BX71_BY40,val
BX80_BY43,val
BX77_BY40,val
BX73_BY45,val
BX77_BY43,test
BX60_BY52,test
BX61_BY51,test
BX67_BY35,test
BX71_BY41,test
BX63_BY44,test
BX69_BY30,test
BX78_BY43,test
BX75_BY44,test
BX66_BY36,test
BX72_BY42,test
BX73_BY42,test
BX67_BY36,test
BX64_BY41,test
BX76_BY42,test
BX72_BY44,test
BX78_BY40,test
